achievement_debug                        : 0        : , "cheat", "rep", "cl" : Turn on achievement debug msgs.
r_rainspeed                              : 600      : , "cheat", "cl"  : 
r_RainSplashPercentage                   : 20       : , "cheat", "cl"  : 
r_rainwidth                              : 0        : , "cheat", "cl"  : 
r_randomflex                             : 0        : , "cheat"        : 
r_screenoverlay                          : cmd      :                  : Draw specified material as an overlay
r_shadow_debug_spew                      : 0        : , "cheat", "cl"  : 
r_shadowangles                           : cmd      :                  : Set shadow angles
r_shadowblobbycutoff                     : cmd      :                  : some shadow stuff
r_shadowcolor                            : cmd      :                  : Set shadow color
r_shadowdir                              : cmd      :                  : Set shadow direction
r_shadowdist                             : cmd      :                  : Set shadow distance
r_shadowfromanyworldlight                : 0        : , "cheat", "cl"  : 
r_shadowfromworldlights_debug            : 0        : , "cheat", "cl"  : 
r_shadowids                              : 0        : , "cheat"        : 
r_shadows_gamecontrol                    : -1       : , "cheat"        : 
r_shadowwireframe                        : 0        : , "cheat"        : 
r_showenvcubemap                         : 0        : , "cheat"        : 
r_showz_power                            : 1        : , "cheat"        : 
r_skin                                   : 0        : , "cheat"        : 
r_skybox                                 : 1        : , "cheat", "cl"  : Enable the rendering of sky boxes
r_slowpathwireframe                      : 0        : , "cheat"        : 
r_SnowColorBlue                          : 200      : , "cheat", "cl"  : Snow.
r_SnowColorGreen                         : 175      : , "cheat", "cl"  : Snow.
r_SnowColorRed                           : 150      : , "cheat", "cl"  : Snow.
r_SnowDebugBox                           : 0        : , "cheat", "cl"  : Snow Debug Boxes.
r_SnowEnable                             : 1        : , "cheat", "cl"  : Snow Enable
r_SnowEndAlpha                           : 255      : , "cheat", "cl"  : Snow.
r_SnowEndSize                            : 0        : , "cheat", "cl"  : Snow.
r_SnowFallSpeed                          : 1        : , "cheat", "cl"  : Snow fall speed scale.
r_SnowInsideRadius                       : 256      : , "cheat", "cl"  : Snow.
r_SnowOutsideRadius                      : 1024     : , "cheat", "cl"  : Snow.
r_SnowParticles                          : 500      : , "cheat", "cl"  : Snow.
r_SnowPosScale                           : 1        : , "cheat", "cl"  : Snow.
r_SnowRayEnable                          : 1        : , "cheat", "cl"  : Snow.
r_SnowRayLength                          : 8192     : , "cheat", "cl"  : Snow.
r_SnowRayRadius                          : 256      : , "cheat", "cl"  : Snow.
r_SnowSpeedScale                         : 1        : , "cheat", "cl"  : Snow.
r_SnowStartAlpha                         : 25       : , "cheat", "cl"  : Snow.
r_SnowStartSize                          : 1        : , "cheat", "cl"  : Snow.
r_SnowWindScale                          : 0        : , "cheat", "cl"  : Snow.
r_SnowZoomOffset                         : 384      : , "cheat", "cl"  : Snow.
r_SnowZoomRadius                         : 512      : , "cheat", "cl"  : Snow.
r_swingflashlight                        : 1        : , "cheat", "cl"  : 
r_updaterefracttexture                   : 1        : , "cheat", "cl"  : 
r_vehicleBrakeRate                       : 1        : , "sv", "cheat"  : 
r_VehicleViewClamp                       : 1        : , "cheat", "cl"  : 
r_VehicleViewDampen                      : 1        : , "cheat", "nf", "rep", "cl" : 
r_visocclusion                           : 0        : , "cheat"        : Activate/deactivate wireframe rendering of what the occlusion system is doing.
r_visualizelighttraces                   : 0        : , "cheat"        : 
r_visualizelighttracesshowfulltrace      : 0        : , "cheat"        : 
r_visualizetraces                        : 0        : , "cheat"        : 
radialmenu                               : cmd      :                  : Opens a radial menu
rangefinder                              : cmd      :                  : Measures distance along a ray
rate                                     : 30000    : , "user"         : Max bytes/sec the host can receive data
rcon                                     : cmd      :                  : Issue an rcon command.
rcon_password                            : 0        : , "norecord"     : remote console password.
recompute_speed                          : cmd      :                  : Recomputes clock speed (for debugging purposes).
record                                   : cmd      :                  : Record a demo.
refresh_options_dialog                   : cmd      :                  : Refresh the options dialog.
reload                                   : cmd      :                  : Reload the most recent saved game (add setpos to jump to current view position on reload).
reload_weapon_script                     : cmd      :                  : Reaload script for <weapon>
removeid                                 : cmd      :                  : Remove a user ID from the ban list.
removeip                                 : cmd      :                  : Remove an IP address from the ban list.
report_cliententitysim                   : 0        : , "cheat", "cl"  : List all clientside simulations and time - will report and turn itself off.
report_clientthinklist                   : 0        : , "cheat", "cl"  : List all clientside entities thinking and time - will report and turn itself off.
report_entities                          : cmd      :                  : Lists all entities
report_simthinklist                      : cmd      :                  : Lists all simulating/thinking entities
report_soundpatch                        : cmd      :                  : reports sound patch count
report_touchlinks                        : cmd      :                  : Lists all touchlinks
reset_gameconvars                        : cmd      :                  : Reset a bunch of game convars to default values
respawn_entities                         : cmd      :                  : Respawn all the entities in the map.
restart                                  : cmd      :                  : Restart the game on the same level (add setpos to jump to current view position on restart).
retry                                    : cmd      :                  : Retry connection to last server.
rope_min_pixel_diameter                  : 2        : , "cheat"        : 

save                                     : cmd      :                  : Saves current game.
save_finish_async                        : cmd      :                  : 
say                                      : cmd      :                  : Display player message
say_team                                 : cmd      :                  : Display player message to team
scene_showlook                           : 0        : , "a", "sv"      : When playing back, show the directions of look events.
scene_showmoveto                         : 0        : , "a", "sv"      : When moving, show the end location.
scene_showunlock                         : 0        : , "a", "sv"      : Show when a vcd is playing but normal AI is running.
screenshot                               : cmd      :                  : Take a screenshot.
script                                   : cmd      :                  : Run the text as a script
script_debug                             : cmd      :                  : Connect the vscript VM to the script debugger
script_dump_all                          : cmd      :                  : Dump the state of the VM to the console
script_execute                           : cmd      :                  : Run a vscript file
script_help                              : cmd      :                  : Output help for script functions, optionally with a search string
script_reload_code                       : cmd      :                  : Execute a vscript file, replacing existing functions with the functions in the run script
script_reload_enity_code                 : cmd      :                  : Execute all of this entity's VScripts, replacing existing functions with the functions in the run scripts
script_reload_think                      : cmd      :                  : Execute an activation script, replacing existing functions with the functions in the run script
sensitivity                              : 3        : , "a", "cl"      : Mouse sensitivity.
server_game_time                         : cmd      :                  : Gives the game time in seconds (server's curtime)
setang                                   : cmd      :                  : Snap player eyes to specified pitch yaw <roll:optional> (must have sv_cheats).
setang_exact                             : cmd      :                  : Snap player eyes and orientation to specified pitch yaw <roll:optional> (must have sv_cheats).
setinfo                                  : cmd      :                  : Adds a new user info value
setmaster                                : cmd      :                  : add/remove/enable/disable master servers
setmodel                                 : cmd      :                  : Changes's player's model
setpause                                 : cmd      :                  : Set the pause state of the server.
setpos                                   : cmd      :                  : Move player to specified origin (must have sv_cheats).
setpos_exact                             : cmd      :                  : Move player to an exact specified origin (must have sv_cheats).
setpos_player                            : cmd      :                  : Move specified player to specified origin (must have sv_cheats).
shake                                    : cmd      :                  : Shake the screen.
shake_stop                               : cmd      :                  : Stops all active screen shakes. 
show_addon_load_order                    : cmd      :                  : Display's the load order for custom addon files.
showbudget_texture                       : 0        : , "cheat"        : Enable the texture budget panel.
showbudget_texture_global_dumpstats      : cmd      :                  : Dump all items in +showbudget_texture_global in a text form
showconsole                              : cmd      :                  : Show the console.
showendpanel                             : cmd      :                  : 
showinfo                                 : cmd      :                  : Shows a info panel: <type> <title> <message> [<command>]
showpanel                                : cmd      :                  : Shows a viewport panel <name>
showtriggers                             : 0        : , "sv", "cheat"  : Shows trigger brushes
showtriggers_toggle                      : cmd      :                  : Toggle show triggers
simple_bot_add                           : cmd      :                  : Add a simple bot.
singlestep                               : 0        : , "cheat"        : Run engine in single step mode ( set next to 1 to advance a frame )
sk_autoaim_mode                          : 1        : , "a", "rep", "cl" : 
skill                                    : 1        : , "a"            : Game skill level (1-3).
slot0                                    : cmd      :                  : 
slot1                                    : cmd      :                  : 
slot10                                   : cmd      :                  : 
slot2                                    : cmd      :                  : 
slot3                                    : cmd      :                  : 
slot4                                    : cmd      :                  : 
slot5                                    : cmd      :                  : 
slot6                                    : cmd      :                  : 
slot7                                    : cmd      :                  : 
slot8                                    : cmd      :                  : 
slot9                                    : cmd      :                  : 
snapto                                   : cmd      :                  : 
snd_async_flush                          : cmd      :                  : Flush all unlocked async audio data
snd_async_showmem                        : cmd      :                  : Show async memory stats
snd_async_showmem_music                  : cmd      :                  : Show async memory stats for just non-streamed music
snd_async_showmem_summary                : cmd      :                  : Show brief async memory stats
snd_buildsoundcachefordirectory          : cmd      :                  : rebuild sound.cache for full path to directory ending with a sound/ folder 
snd_duckerattacktime                     : 0        : , "a"            : 
snd_duckerreleasetime                    : 2        : , "a"            : 
snd_duckerthreshold                      : 0        : , "a"            : 
snd_ducktovolume                         : 0        : , "a"            : 
snd_dump_filepaths                       : cmd      :                  : 
snd_dumpclientsounds                     : cmd      :                  : Dump sounds to console
snd_filter                               : 0        : , "cheat"        : 
snd_foliage_db_loss                      : 4        : , "cheat"        : foliage dB loss per 1200 units
snd_gain                                 : 1        : , "cheat"        : 
snd_gain_max                             : 1        : , "cheat"        : 
snd_gain_min                             : 0        : , "cheat"        : 
snd_getmixer                             : cmd      :                  : Get data related to mix group matching string
snd_legacy_surround                      : 0        : , "a"            : 
snd_list_mix_groups                      : cmd      :                  : List all mix groups to dev console.
snd_list_mixers                          : cmd      :                  : List all mixers to dev console.
snd_mixahead                             : 0        : , "a"            : 
snd_musicvolume                          : 0        : , "a", "user"    : Music volume
snd_obscured_gain_dB                     : -2       : , "cheat"        : 
snd_pitchquality                         : 1        : , "a"            : 
snd_playsounds                           : cmd      :                  : Play sounds from the game sounds txt file at a given location
snd_pre_gain_dist_falloff                : 1        : , "cheat"        : 
snd_prefetch_common                      : 1        :                  : Prefetch common sounds from directories specified in scripts/sound_prefetch.txt
snd_rebuildaudiocache                    : cmd      :                  : rebuild audio cache 
snd_rebuildlocalizedaudiocache           : cmd      :                  : rebuild audio cache for all localization 
snd_refdb                                : 60       : , "cheat"        : Reference dB at snd_refdist
snd_refdist                              : 36       : , "cheat"        : Reference distance for snd_refdb
snd_restart                              : cmd      :                  : Restart sound system.
snd_setmixer                             : cmd      :                  : Set named Mixgroup of current mixer to mix vol, mute, solo.
snd_setmixlayer                          : cmd      :                  : Set named Mixgroup of named mix layer to mix vol, mute, solo.
snd_setmixlayer_amount                   : cmd      :                  : Set named mix layer mix amount.
snd_setsoundparam                        : cmd      :                  : Set a sound paramater
snd_showstart                            : 0        : , "cheat"        : 
snd_soundmixer_flush                     : cmd      :                  : Reload soundmixers.txt file.
snd_updateaudiocache                     : cmd      :                  : checks _master.cache based on file sizes and rebuilds any change/new entries 
snd_visualize                            : 0        : , "cheat"        : Show sounds location in world
snd_writemanifest                        : cmd      :                  : If running a game, outputs the precache manifest for the current level 
sndplaydelay                             : cmd      :                  : 
soundfade                                : cmd      :                  : Fade client volume.
soundinfo                                : cmd      :                  : Describe the current sound device.
soundlist                                : cmd      :                  : List all known sounds.
soundscape_debug                         : 0        : , "sv", "cheat"  : When on, draws lines to all env_soundscape entities. Green lines show the active soundscape, red lines show soundscapes that ar
soundscape_dumpclient                    : cmd      :                  : Dumps the client's soundscape data. 
soundscape_fadetime                      : 3        : , "cheat", "cl"  : Time to crossfade sound effects between soundscapes
soundscape_flush                         : cmd      :                  : Flushes the server & client side soundscapes
soundscape_radius_debug                  : 0        : , "cheat", "cl"  : Prints current volume of radius sounds
speak                                    : cmd      :                  : Play a constructed sentence.
spec_allowroaming                        : 0        : , "a", "user", "cl" : 
spec_centerchasecam                      : 0        : , "a", "cl"      : Looks at the target player's center, instead of his eye position, in chase came mode
spec_chasedistancestep                   : 10       : , "a", "cl"      : Amount to adjust the chase cam's distance on a zoom request
spec_freeze_distance_max                 : 200      : , "cheat", "cl"  : Maximum random distance from the target to stop when framing them in observer freeze cam.
spec_freeze_distance_min                 : 96       : , "cheat", "cl"  : Minimum random distance from the target to stop when framing them in observer freeze cam.
spec_freeze_time                         : 4        : , "cheat", "rep", "cl" : Time spend frozen in observer freeze cam.
spec_freeze_traveltime                   : 0        : , "cheat", "rep", "cl" : Time taken to zoom in to frame a target in observer freeze cam.
spec_help                                : cmd      :                  : Show spectator help screen
spec_menu                                : cmd      :                  : Activates spectator menu
spec_mode                                : cmd      :                  : Set spectator mode
spec_next                                : cmd      :                  : Spectate next player
spec_player                              : cmd      :                  : Spectate player by name
spec_pos                                 : cmd      :                  : dump position and angles to the console
spec_prev                                : cmd      :                  : Spectate previous player
spec_scoreboard                          : 0        : , "a", "cl"      : 
spike                                    : cmd      :                  : generates a fake spike
ss_map                                   : cmd      :                  : Start playing on specified map with max allowed splitscreen players.
ss_splitmode                             : 0        : , "a", "cl"      : Two player split screen mode (0 - recommended settings base on the width, 1 - horizontal, 2 - vertical (only allowed in widescr
star_memory                              : cmd      :                  : Dump memory stats
startdemos                               : cmd      :                  : Play demos in demo sequence.
startmovie                               : cmd      :                  : Start recording movie frames.
startupmenu                              : cmd      :                  : Opens initial menu screen and loads the background bsp, but only if no other level is being loaded, and we're not in developer 
stats                                    : cmd      :                  : Prints server performance variables
status                                   : cmd      :                  : Display map and connection status.
stop                                     : cmd      :                  : Finish recording demo.
stopdemo                                 : cmd      :                  : Stop playing back a demo.
stopsound                                : cmd      :                  : 
stopsoundscape                           : cmd      :                  : Stops all soundscape processing and fades current looping sounds
stringtabledictionary                    : cmd      :                  : Create dictionary for current strings.
stuffcmds                                : cmd      :                  : Parses and stuffs command line + commands to command buffer.
suitvolume                               : 0        : , "a", "sv"      : 
surfaceprop                              : cmd      :                  : Reports the surface properties at the cursor
sv_allow_lobby_connect_only              : 1        :                  : If set, players may only join this server from matchmaking lobby, may not connect directly.
sv_allow_wait_command                    : 1        : , "rep"          : Allow or disallow the wait command on clients connected to this server.
sv_alltalk                               : 0        : , "sv", "nf"     : Players can hear all other players' voice communication, no team restrictions
sv_alternateticks                        : 0        : , "sp"           : If set, server only simulates entities on even numbered ticks. 
sv_always_full_flush                     : 0        : , "cheat"        : 
sv_banid_enabled                         : 1        :                  : Whether server supports banid command
sv_benchmark_force_start                 : cmd      :                  : Force start the benchmark. This is only for debugging. It's better to set sv_benchmark to 1 and restart the level.
sv_cheats                                : 0        : , "nf", "rep"    : Allow cheats on server
sv_clearhinthistory                      : cmd      :                  : Clear memory of server side hints displayed to the player.
sv_consistency                           : 1        : , "rep"          : Whether the server enforces file consistency for critical files
sv_contact                               : 0        : , "nf"           : Contact email for server sysop
sv_demo_entity_record_rate               : 30       : , "sp", "sv", "cheat" : Set the server demo record rate for entities.
sv_downloadurl                           : 0        : , "rep"          : Location from which clients can download missing files
sv_dumpstringtables                      : 0        : , "cheat"        : 
sv_footstepinterval                      : 0        : , "cheat", "rep", "cl" : 
sv_force_time_of_day                     : -1       : , "sv", "cheat"  : 0 - midnight, 3 - afternoon
sv_forcepreload                          : 0        : , "a"            : Force server side preloading.
sv_infinite_ammo                         : 0        : , "cheat", "rep", "cl" : Player's active weapon will never run out of ammo
sv_lagcompensationforcerestore           : 1        : , "sv", "cheat"  : Don't test validity of a lag comp restore, just do it.
sv_lan                                   : 0        :                  : Server is a lan server ( no heartbeat, no authentication, no non-class C addresses )
sv_log_onefile                           : 0        : , "a"            : Log server information to only one file.
sv_logbans                               : 0        : , "a"            : Log server bans in the server logs.
sv_logecho                               : 1        : , "a"            : Echo log information to the console.
sv_logfile                               : 1        : , "a"            : Log server information in the log file.
sv_logflush                              : 0        : , "a"            : Flush the log file to disk on each write (slow).
sv_logsdir                               : 0        : , "a"            : Folder in the game directory where server logs will be stored.
sv_maxcmdrate                            : 40       : , "rep"          : (If sv_mincmdrate is > 0), this sets the maximum value for cl_cmdrate.
sv_maxrate                               : 0        : , "rep"          : Max bandwidth rate allowed on server, 0 == unlimited
sv_maxupdaterate                         : 60       : , "rep"          : Maximum updates per second that the server will allow
sv_memlimit                              : 0        : , "cheat"        : If set, whenever a game ends, if the total memory used by the server is greater than this # of megabytes, the server will exit.
sv_mincmdrate                            : 0        : , "rep"          : This sets the minimum value for cl_cmdrate. 0 == unlimited.
sv_minrate                               : 5000     : , "rep"          : Min bandwidth rate allowed on server, 0 == unlimited
sv_minupdaterate                         : 10       : , "rep"          : Minimum updates per second that the server will allow
sv_noclipaccelerate                      : 5        : , "a", "nf", "rep", "cl" : 
sv_noclipduringpause                     : 0        : , "cheat", "rep", "cl" : If cheats are enabled, then you can noclip with the game paused (for doing screenshots, etc.).
sv_noclipspeed                           : 5        : , "a", "nf", "rep", "cl" : 
sv_password                              : 0        : , "nf", "prot", "norecord" : Server password for entry into multiplayer games
sv_pausable                              : 0        :                  : Is the server pausable.
sv_phys2_stats                           : cmd      :                  : Dumps server physics stats
sv_player_stuck_tolerance                : 10       : , "sv", "cheat"  : 
sv_precacheinfo                          : cmd      :                  : Show precache info.
sv_prop_door_max_close_attempts          : 8        : , "sv", "cheat"  : Number of times blocked doors will try to close before becoming non-solid and forcing a close.
sv_pure                                  : cmd      :                  : Show user data.
sv_pure_kick_clients                     : 1        :                  : If set to 1, the server will kick clients with mismatching files. Otherwise, it will issue a warning to the client.
sv_pure_trace                            : 0        :                  : If set to 1, the server will print a message whenever a client is verifying a CRC for a file.
sv_pvsskipanimation                      : 1        : , "a", "sv"      : Skips SetupBones when npc's are outside the PVS
sv_querycache_stats                      : cmd      :                  : Display status of the query cache (client only)
sv_rcon_banpenalty                       : 0        :                  : Number of minutes to ban users who fail rcon authentication
sv_rcon_maxfailures                      : 10       :                  : Max number of times a user can fail rcon authentication before being banned
sv_rcon_minfailures                      : 5        :                  : Number of times a user can fail rcon authentication in sv_rcon_minfailuretime before being banned
sv_rcon_minfailuretime                   : 30       :                  : Number of seconds to track failed rcon authentications
sv_regeneration_force_on                 : 0        : , "sv", "cheat"  : Cheat to test regenerative health systems
sv_region                                : -1       :                  : The region of the world to report this server in.
sv_reservation_timeout                   : 120      :                  : Time in seconds before lobby reservation expires.
sv_search_key                            : 0        :                  : When searching for a dedicated server from lobby, restrict search to only dedicated servers having the same sv_search_key.
sv_showfootsteps                         : 0        : , "cheat", "rep", "cl" : Shows client (red) and server (green) footsteps (1=client-only, 2=server-only, 3=both)
sv_showhitboxes                          : -1       : , "sv", "cheat"  : Send server-side hitboxes for specified entity to client (NOTE:  this uses lots of bandwidth, use on listen server only).
sv_showhitboxes_cursor                   : cmd      :                  : Show the hitboxes of the pointed-at entity
sv_showlagcompensation                   : 0        : , "sv", "cheat"  : Show lag compensated hitboxes whenever a player is lag compensated.
sv_showonlyhitbox                        : -1       : , "sv", "cheat"  : 
sv_showtags                              : cmd      :                  : Describe current gametags.
sv_shutdown                              : cmd      :                  : Sets the server to shutdown when all games have completed
sv_skyname                               : 0        : , "a", "rep", "cl" : Current name of the skybox texture
sv_soundemitter_reload                   : cmd      :                  : Flushes the sounds.txt system
sv_soundscape_printdebuginfo             : cmd      :                  : print soundscapes
sv_specaccelerate                        : 5        : , "a", "nf", "rep", "cl" : 
sv_specnoclip                            : 1        : , "a", "nf", "rep", "cl" : 
sv_specspeed                             : 3        : , "a", "nf", "rep", "cl" : 
sv_steamgroup                            : 0        : , "nf"           : The ID of the steam group that this server belongs to. You can find your group's ID on the admin profile page in the steam comm
sv_steamgroup_exclusive                  : 0        :                  : If set, only members of Steam group will be able to join the server when it's empty, public people will be able to join the ser
sv_sync_anims_spawn                      : 0        : , "sv", "cheat"  : 
sv_tags                                  : 0        : , "nf"           : Server tags. Used to provide extra information to clients when they're browsing for servers. Separate tags with a comma.
sv_unlockedchapters                      : 1        : , "a"            : Highest unlocked game chapter.
sv_visiblemaxplayers                     : -1       :                  : Overrides the max players reported to prospective clients
sv_voiceenable                           : 1        : , "a", "nf"      : 
sv_vote_creation_timer                   : 180      : , "sv", "cheat", "rep" : How often someone can individually call a vote.
sv_vote_plr_map_limit                    : 3        : , "sv", "cheat", "rep" : Number of failed votes a user can call per map
sv_vote_show_caller                      : 1        : , "sv", "cheat", "rep" : Show the name of the person that called the vote? (1: Yes, 0: No)
sys_minidumpspewlines                    : 500      :                  : Lines of crash dump console spew to keep.

Test_CreateEntity                        : cmd      :                  : 
test_dispatcheffect                      : cmd      :                  : Test a clientside dispatch effect.  Usage: test_dispatcheffect <effect name> <distance away> <flags> <magnitude> <scale>  Defau
Test_EHandle                             : cmd      :                  : 
test_entity_blocker                      : cmd      :                  : Test command that drops an entity blocker out in front of the player.
test_freezeframe                         : cmd      :                  : Test the freeze frame code.
Test_InitRandomEntitySpawner             : cmd      :                  : 
Test_Loop                                : cmd      :                  : Test_Loop <loop name> - loop back to the specified loop start point unconditionally.
Test_LoopCount                           : cmd      :                  : Test_LoopCount <loop name> <count> - loop back to the specified loop start point the specified # of times.
Test_LoopForNumSeconds                   : cmd      :                  : Test_LoopForNumSeconds <loop name> <time> - loop back to the specified start point for the specified # of seconds.
test_outtro_pzendgame                    : cmd      :                  : 
test_outtro_stats                        : cmd      :                  : 
Test_ProxyToggle_EnableProxy             : cmd      :                  : 
Test_ProxyToggle_EnsureValue             : cmd      :                  : Test_ProxyToggle_EnsureValue
Test_ProxyToggle_SetValue                : cmd      :                  : 
Test_RandomChance                        : cmd      :                  : Test_RandomChance <percent chance, 0-100> <token1> <token2...> - Roll the dice and maybe run the command following the percenta
Test_RandomizeInPVS                      : cmd      :                  : 
Test_RandomPlayerPosition                : cmd      :                  : 
Test_RemoveAllRandomEntities             : cmd      :                  : 
Test_RunFrame                            : cmd      :                  : 
Test_SendKey                             : cmd      :                  : 
Test_SpawnRandomEntities                 : cmd      :                  : 
Test_StartLoop                           : cmd      :                  : Test_StartLoop <loop name> - Denote the start of a loop. Really just defines a named point you can jump to.
Test_StartScript                         : cmd      :                  : Start a test script running..
Test_Wait                                : cmd      :                  : 
Test_WaitForCheckPoint                   : cmd      :                  : 
testhudanim                              : cmd      :                  : Test a hud element animation.  Arguments: <anim name> 
texture_budget_background_alpha          : 128      : , "a"            : how translucent the budget panel is
texture_budget_panel_bottom_of_history_fraction : 0        : , "a"            : number between 0 and 1
texture_budget_panel_height              : 284      : , "a"            : height in pixels of the budget panel
texture_budget_panel_width               : 512      : , "a"            : width in pixels of the budget panel
texture_budget_panel_x                   : 0        : , "a"            : number of pixels from the left side of the game screen to draw the budget panel
texture_budget_panel_y                   : 450      : , "a"            : number of pixels from the top side of the game screen to draw the budget panel
tf_escort_score_rate                     : 1        : , "sv", "cheat"  : Score for escorting the train, in points per second
think_limit                              : 10       : , "rep", "cl"    : Maximum think time in milliseconds, warning is printed if this is exceeded.
thirdperson                              : cmd      :                  : Switch to thirdperson camera.
thirdperson_mayamode                     : cmd      :                  : Switch to thirdperson Maya-like camera controls.
thirdpersonshoulder                      : cmd      :                  : Switch to thirdperson-shoulder camera.
thread_test_tslist                       : cmd      :                  : 
thread_test_tsqueue                      : cmd      :                  : 
threadpool_cycle_reserve                 : cmd      :                  : Cycles threadpool reservation by powers of 2
threadpool_run_tests                     : cmd      :                  : 
timedemo                                 : cmd      :                  : Play a demo and report performance info.
timedemo_vprofrecord                     : cmd      :                  : Play a demo and report performance info.  Also record vprof data for the span of the demo
timedemoquit                             : cmd      :                  : Play a demo, report performance info, and then exit
timerefresh                              : cmd      :                  : Profile the renderer.
tir_maxpitch                             : 15       : , "cheat", "cl"  : TrackIR Max Pitch
tir_maxroll                              : 90       : , "cheat", "cl"  : TrackIR Max Roll
tir_maxx                                 : 4        : , "cheat", "cl"  : TrackIR Max X
tir_maxy                                 : 6        : , "cheat", "cl"  : TrackIR Max Y
tir_maxyaw                               : 90       : , "cheat", "cl"  : TrackIR Max Yaw
tir_maxz                                 : 1        : , "cheat", "cl"  : TrackIR Max Z
toggle                                   : cmd      :                  : Toggles a convar on or off, or cycles through a set of values.
toggleconsole                            : cmd      :                  : Show/hide the console.
togglescores                             : cmd      :                  : Toggles score panel
toolload                                 : cmd      :                  : Load a tool.
training_class                           : 3        : , "sv", "rep"    : Class to use in training.
training_continue                        : cmd      :                  : Tells training that it should continue.
training_team                            : 2        : , "sv", "rep"    : Team to spawn human in training
tv_clients                               : cmd      :                  : Shows list of connected SourceTV clients.
tv_msg                                   : cmd      :                  : Send a screen message to all clients.
tv_nochat                                : 0        : , "a", "user"    : Don't receive chat messages from other SourceTV spectators
tv_port                                  : 27020    :                  : Host SourceTV port
tv_record                                : cmd      :                  : Starts SourceTV demo recording.
tv_relay                                 : cmd      :                  : Connect to SourceTV server and relay broadcast.
tv_retry                                 : cmd      :                  : Reconnects the SourceTV relay proxy.
tv_status                                : cmd      :                  : Show SourceTV server status.
tv_stop                                  : cmd      :                  : Stops the SourceTV broadcast.
tv_stoprecord                            : cmd      :                  : Stops SourceTV demo recording.

ui_posedebug_fade_in_time                : 0        : , "cheat", "norecord", "cl" : Time during which a new pose activity layer is shown in green in +posedebug UI
ui_posedebug_fade_out_time               : 0        : , "cheat", "norecord", "cl" : Time to keep a no longer active pose activity layer in red until removing it from +posedebug UI
unbind                                   : cmd      :                  : Unbind a key.
unbindall                                : cmd      :                  : Unbind all keys.
unload_all_addons                        : cmd      :                  : Reloads the search paths for game addons.
unpause                                  : cmd      :                  : Unpause the game.
update_addon_paths                       : cmd      :                  : Reloads the search paths for game addons.
use                                      : cmd      :                  : Use a particular weapon  Arguments: <weapon_name>
user                                     : cmd      :                  : Show user data.
users                                    : cmd      :                  : Show user info for players on server.

vcollide_animated_wireframe              : 0        : , "cheat", "cl"  : 
vcollide_wireframe                       : 0        : , "cheat", "cl"  : Render physics collision models in wireframe
vehicle_flushscript                      : cmd      :                  : Flush and reload all vehicle scripts
version                                  : cmd      :                  : Print version info string.
vgui_drawtree                            : 0        : , "cheat"        : Draws the vgui panel hiearchy to the specified depth level.
vgui_drawtree_clear                      : cmd      :                  : 
vgui_dump_panels                         : cmd      :                  : vgui_dump_panels [visible]
vgui_message_dialog_modal                : 1        : , "a", "cl"      : 
vgui_spew_fonts                          : cmd      :                  : 
vgui_togglepanel                         : cmd      :                  : show/hide vgui panel by name.
view_offset_down                         : 16       : , "cheat", "rep", "cl" : 
view_offset_forward                      : 8        : , "cheat", "rep", "cl" : 
view_offset_up                           : -16      : , "cheat", "rep", "cl" : 
viewanim_addkeyframe                     : cmd      :                  : 
viewanim_create                          : cmd      :                  : viewanim_create
viewanim_load                            : cmd      :                  : load animation from file
viewanim_reset                           : cmd      :                  : reset view angles!
viewanim_save                            : cmd      :                  : Save current animation to file
viewanim_test                            : cmd      :                  : test view animation
viewmodel_fov                            : 54       : , "cheat", "cl"  : 
viewmodel_offset_x                       : 0        : , "a", "cl"      : 
viewmodel_offset_y                       : 0        : , "a", "cl"      : 
viewmodel_offset_z                       : 0        : , "a", "cl"      : 
vis_force                                : 0        : , "sv", "cheat"  : 
vismon_poll_frequency                    : 0        : , "sv", "cheat"  : 
vismon_trace_limit                       : 12       : , "sv", "cheat"  : 
vm_debug                                 : 0        : , "cheat", "cl"  : 
voice_enable                             : 1        : , "a"            : 
voice_forcemicrecord                     : 1        : , "a"            : 
voice_inputfromfile                      : 0        :                  : Get voice input from 'voice_input.wav' rather than from the microphone.
voice_loopback                           : 0        : , "user"         : 
voice_modenable                          : 1        : , "a", "clientcmd_can_execute", "cl" : Enable/disable voice in this mod.
voice_recordtofile                       : 0        :                  : Record mic data and decompressed voice data into 'voice_micdata.wav' and 'voice_decompressed.wav'
voice_scale                              : 0        : , "a"            : 
voice_threshold                          : 2000     : , "a"            : 
voice_vox                                : 0        : , "a", "cl"      : Voice chat uses a vox-style always on
voicerecord_toggle                       : cmd      :                  : 
volume                                   : 1        : , "a"            : Sound volume
vox_reload                               : cmd      :                  : Reload sentences.txt file
voxeltree_box                            : cmd      :                  : View entities in the voxel-tree inside box <Vector(min), Vector(max)>.
voxeltree_playerview                     : cmd      :                  : View entities in the voxel-tree at the player position.
voxeltree_sphere                         : cmd      :                  : View entities in the voxel-tree inside sphere <Vector(center), float(radius)>.
voxeltree_view                           : cmd      :                  : View entities in the voxel-tree.
vphys_sleep_timeout                      : cmd      :                  : set sleep timeout: large values mean stuff won't ever sleep
vprof                                    : cmd      :                  : Toggle VProf profiler
vprof_adddebuggroup1                     : cmd      :                  : add a new budget group dynamically for debugging
